15-Mar-2024-03-35-22 --- args ---
The attention method is self_relation-attention, learning rate: 0.1
args.evaluate: {:}
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 4
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 1, Pred: 2
